residual_std_batch_step,beta_mean_step,weekly_strength_mean_step,step,val_bias_scaled,need_mean,got_mean,residual_std_batch_epoch,beta_mean_epoch,beta_min,beta_max,weekly_strength_mean_epoch,top1_period,val_loss,epoch,beta_min_epoch,beta_max_epoch,train_loss_epoch,residual_std_batch,beta_min_step,beta_max_step,train_loss_step
,,,89,0.149423286318779,-0.03859464079141617,0.11083984375,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.4551173746585846,5,,,,,,,
,,,89,,,,,0.4690355360507965,,,0.11505917459726334,24.0,,5,0.3999997675418854,0.9953508377075195,0.18683695793151855,,,,
,0.46113595366477966,0.10189324617385864,99,,,,,,,,,,,6,,,,0.18001209199428558,0.4000000059604645,0.9999964237213135,0.20106863975524902
0.07619491219520569,0.4036993980407715,0.00616561621427536,30,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,31,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,32,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,33,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,34,,,,,,,,,,,,,,,,,,
,,,104,0.14023855328559875,-0.03859464079141617,0.10164184868335724,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.42607203125953674,6,,,,,,,
,,,104,,,,,0.4692283570766449,,,0.11538069695234299,24.0,,6,0.3999997675418854,0.9977882504463196,0.19574499130249023,,,,
0.07619491219520569,0.4036993980407715,0.00616561621427536,35,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,36,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,37,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,38,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,39,,,,,,,,,,,,,,,,,,
,,,119,0.1791200041770935,-0.03859464079141617,0.14053955674171448,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.5204182267189026,7,,,,,,,
,,,119,,,,,0.4641769528388977,,,0.10696160793304443,24.0,,7,0.3999997675418854,0.9915264248847961,0.1795620322227478,,,,
0.07619491219520569,0.4036993980407715,0.00616561621427536,40,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,41,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,42,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,43,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,44,,,,,,,,,,,,,,,,,,
,,,134,0.17399348318576813,-0.03859464079141617,0.13538818061351776,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.5186771154403687,8,,,,,,,
,,,134,,,,,0.46785780787467957,,,0.11309649795293808,24.0,,8,0.3999997675418854,0.9950394034385681,0.17242002487182617,,,,
,0.47960132360458374,0.13266883790493011,149,,,,,,,,,,,9,,,,0.16982915997505188,0.4000000059604645,0.9998023509979248,0.16294577717781067
0.07619491219520569,0.4036993980407715,0.00616561621427536,45,,,,,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,46,,,,,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,47,,,,,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,48,,,,,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,49,,,,,,,,,,,,,,,,,,
,,,149,0.14127229154109955,-0.03859464079141617,0.10269775241613388,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.4619623124599457,9,,,,,,,
,,,149,,,,,0.46976104378700256,,,0.11626846343278885,24.0,,9,0.3999997675418854,0.9941768050193787,0.16906724870204926,,,,
